country,cluster,transition_score,improvement_rate,fossil_lock_in,clean_access_2019,regression_resid,lc_2000,lc_2019,access_2000,access_2019,gdp_2000,gdp_2019
Japan,Emergentes fósiles,62.68,-0.363,41.43,25.86,-8.58,41.49231,25.860157,100.0,100.0,39169.35957,40777.6087
Spain,Transición renovable,76.36,0.487,26.27,58.82,2.496,43.7715,58.82092,100.0,100.0,14713.06571,29555.3157
India,Emergentes fósiles,49.3,1.012,53.61,20.9,-3.164,16.808134,21.475914,58.721474,97.308266,443.3141938,2100.751461
Cambodia,Transición renovable,58.79,2.395,40.68,44.83,12.39,10.638298,53.372787,16.6,84.0,300.613679,1643.121389
Argentina,Emergentes fósiles,60.44,-0.095,42.71,31.99,-1.859,40.914955,31.991589,95.78329,100.0,7708.099115,10056.63794
